Date,Transect,Matt.Start,Matt.End,Mike.Start,Mike.End,Seaton.Start,Seaton.End,Sarah.Start,Sarah.End
2015-04-30,2,NA,NA,NA,NA,15:26:00,15:58:00,15:26:00,15:58:00
2015-04-30,119,23:13:00,23:59:00,23:13:00,23:59:00,NA,NA,NA,NA
2015-05-01,119,00:00:00,00:31:00,00:00:00,00:31:00,NA,NA,NA,NA
2015-05-01,27,NA,NA,NA,NA,08:02:00,08:33:00,08:02:00,08:33:00
2015-05-01,26,NA,NA,NA,NA,09:13:00,09:36:00,09:13:00,09:36:00
2015-05-01,24,NA,NA,NA,NA,10:18:00,10:44:00,10:18:00,10:44:00
2015-05-01,28,08:11:00,08:46:00,08:11:00,08:46:00,NA,NA,NA,NA
2015-05-01,118,09:24:00,10:07:00,09:24:00,10:07:00,NA,NA,NA,NA
2015-05-01,1316,13:05:00,13:36:00,13:05:00,13:36:00,NA,NA,NA,NA
2015-05-02,224,NA,NA,09:25:00,09:48:00,09:25:00,09:48:00,NA,NA
2015-05-02,207,NA,NA,10:30:00,10:58:00,10:30:00,10:58:00,NA,NA
2015-05-02,207,NA,NA,11:33:00,11:37:00,11:33:00,11:37:00,NA,NA
2015-05-02,204,NA,NA,12:52:00,13:25:00,12:52:00,13:25:00,NA,NA
2015-05-02,220,08:30:00,09:06:00,NA,NA,NA,NA,08:30:00,09:06:00
2015-05-02,225,10:12:00,10:55:00,NA,NA,NA,NA,10:12:00,10:55:00
2015-05-02,230,11:43:00,12:17:00,NA,NA,NA,NA,11:43:00,12:17:00
2015-05-02,232,13:08:00,13:36:00,NA,NA,NA,NA,13:08:00,13:36:00
